vendor,camera,sensor_name,aspect,fov,pixel_pitch,res_w,res_h,sensor_w_mm,sensor_h_mm,focal_length
RED,EPIC-W 8K,2K FF,1.8963,6.44,0.003652,2048,1080,7.48,3.94,35.00
RED,EPIC-W 8K,2K 2:1,2.0000,6.12,0.003652,2048,1024,7.48,3.74,35.00
RED,EPIC-W 8K,2K WS,2.3704,5.15,0.003652,2048,864,7.48,3.15,35.00
RED,EPIC-W 8K,2K HD,1.7778,6.44,0.003651,1920,1080,7.01,3.94,35.00
RED,Komodo 6K OG,6K 17:9,1.8963,23.03,0.004399,6144,3240,27.03,14.26,35.00
RED,Komodo 6K OG,4K 17:9,1.8963,15.46,0.004399,4096,2160,18.02,9.50,35.00
RED,Komodo 6K OG,2K 17:9,1.8963,7.76,0.004399,2048,1080,9.01,4.75,35.00
RED,Komodo 6K OG,6K 16:9,1.7778,23.03,0.004399,5760,3240,25.34,14.26,35.00
RED,Komodo 6K OG,4k 16:9,1.7778,15.46,0.004401,3840,2160,16.90,9.50,35.00
RED,One MX,4.5K WS,2.3333,16.85,0.005400,4480,1920,24.19,10.37,35.00
RED,One MX,4K HD 4096 x 2304,1.7778,20.15,0.005400,4096,2304,22.12,12.44,35.00
RED,One MX,4K 2:1,2.0000,17.96,0.005400,4096,2048,22.12,11.06,35.00
RED,One MX,4K HD 3840 x 2160,1.7778,18.91,0.005401,3840,2160,20.74,11.66,35.00
RED,One MX,4K ANA,1.2222,20.15,0.005401,2816,2304,15.21,12.44,35.00
RED,One MX,3K HD,1.7778,15.18,0.005400,3072,1728,16.59,9.33,35.00
RED,One MX,3K 2:1,2.0000,13.51,0.005400,3072,1536,16.59,8.29,35.00
RED,One MX,3K ANA,1.2222,15.18,0.005398,2112,1728,11.40,9.33,35.00
RED,One MX,2K HD,1.7778,10.16,0.005400,2048,1152,11.06,6.22,35.00
RED,One MX,2K 2:1,2.0000,9.05,0.005400,2048,1024,11.06,5.54,35.00
RED,One MX,2K ANA,1.2222,10.16,0.005398,1408,1152,7.60,6.22,35.00
RED,RAVEN 4.5K,4.5K 2.1,2.1333,17.54,0.005000,4608,2160,23.04,10.80,35.00
RED,RAVEN 4.5K,4.5K WS,2.3704,15.81,0.005000,4608,1944,23.04,9.72,35.00
RED,RAVEN 4.5K,4K FF,1.8963,17.54,0.005000,4096,2160,20.48,10.80,35.00
RED,RAVEN 4.5K,4K 2:1,2.0000,16.65,0.005000,4096,2048,20.48,10.24,35.00
